ho,dl,err,gt,got
fork,NIE(Y | X),1.1102230246251565e-16,0.0,-1.1102230246251565e-16
fork,P(Y=1 | X=1),2.220446049250313e-16,0.894434815167108,0.8944348151671082
fork,P(Y=1 | X=0),0.0,0.5453865923306271,0.5453865923306271
fork,P(V2=1),2.220446049250313e-16,0.8509467008476994,0.8509467008476996
fork,P(X=1),1.1102230246251565e-16,0.5571477728070212,0.5571477728070213
fork,P(Y=1),2.220446049250313e-16,0.7398580322862213,0.7398580322862215
fork,ATE(Y | X),1.1102230246251565e-16,0.34904822283648085,0.34904822283648096
fork,ETT(Y | X),0.0,0.34904822283648085,0.34904822283648085
fork,NDE(Y | X),1.1102230246251565e-16,0.34904822283648085,0.34904822283648096
fork,NIE(Y | X),0.0,0.0,0.0
fork,P(Y=1 | X=1),0.0,0.7173583851741692,0.7173583851741692
fork,P(Y=1 | X=0),0.0,0.3884707068827994,0.3884707068827994
fork,P(V2=1),2.220446049250313e-16,0.5990689617567062,0.5990689617567064
fork,P(X=1),1.1102230246251565e-16,0.4310206748343822,0.4310206748343821
fork,P(Y=1),1.1102230246251565e-16,0.5302280959246587,0.5302280959246588
fork,ATE(Y | X),1.6653345369377348e-16,0.3288876782913698,0.32888767829136994
fork,ETT(Y | X),1.1102230246251565e-16,0.3288876782913698,0.3288876782913699
fork,NDE(Y | X),1.6653345369377348e-16,0.3288876782913698,0.32888767829136994
fork,NIE(Y | X),0.0,0.0,0.0
fork,P(Y=1 | X=1),1.1102230246251565e-16,0.6557350623329157,0.6557350623329156
fork,P(Y=1 | X=0),2.220446049250313e-16,0.31373732740736715,0.31373732740736693
fork,P(V2=1),0.0,0.44615490303553074,0.44615490303553074
fork,P(X=1),1.1102230246251565e-16,0.4460174789016227,0.4460174789016226
fork,P(Y=1),5.551115123125783e-17,0.46627429492892564,0.4662742949289256
fork,ATE(Y | X),1.6653345369377348e-16,0.3419977349255485,0.3419977349255487
fork,ETT(Y | X),1.6653345369377348e-16,0.34199773492554847,0.34199773492554864
fork,NDE(Y | X),1.6653345369377348e-16,0.3419977349255485,0.3419977349255487
fork,NIE(Y | X),0.0,0.0,0.0
fork,P(Y=1 | X=1),1.1102230246251565e-16,0.6397002931547127,0.6397002931547128
fork,P(Y=1 | X=0),1.1102230246251565e-16,0.288831717098169,0.2888317170981689
fork,P(V2=1),0.0,0.5145111819082995,0.5145111819082995
fork,P(X=1),2.220446049250313e-16,0.24656601397764638,0.24656601397764616
fork,P(Y=1),1.1102230246251565e-16,0.37534398332644364,0.37534398332644353
fork,ATE(Y | X),2.220446049250313e-16,0.35086857605654365,0.35086857605654387
fork,ETT(Y | X),2.220446049250313e-16,0.35086857605654365,0.35086857605654387
fork,NDE(Y | X),2.220446049250313e-16,0.35086857605654365,0.35086857605654387
fork,NIE(Y | X),0.0,0.0,0.0
fork,P(Y=1 | X=1),1.1102230246251565e-16,0.6123657431812116,0.6123657431812117
fork,P(Y=1 | X=0),1.6653345369377348e-16,0.2996568194354336,0.29965681943543343
fork,P(V2=1),0.0,0.4456384100823658,0.4456384100823658
fork,P(X=1),1.1102230246251565e-16,0.30791272976357736,0.30791272976357725
